
# Surface 0 of 1 surfaces

# Curve title: "'double_integral1_data.txt' using 'x':'y':'value'"

# IsoCurve 0, 24 points
# x y z type
1.0000000e+00 1.8181800e-01 4.6598000e-02 i
1.0000000e+00 1.8181800e-01 0.0000000e+00 i

# IsoCurve 19, 24 points
# x y z type
0.0000000e+00 1.8181800e-01 0.0000000e+00 i
0.0000000e+00 1.8181800e-01 2.9560000e-02 i
9.0909000e-02 1.8181800e-01 2.9560000e-02 i
9.0909000e-02 1.8181800e-01 8.6285000e-02 i
1.8181800e-01 1.8181800e-01 8.6285000e-02 i
1.8181800e-01 1.8181800e-01 1.3601900e-01 i
2.7272700e-01 1.8181800e-01 1.3601900e-01 i
2.7272700e-01 1.8181800e-01 1.7473500e-01 i
3.6363600e-01 1.8181800e-01 1.7473500e-01 i
3.6363600e-01 1.8181800e-01 1.9929400e-01 i
4.5454500e-01 1.8181800e-01 1.9929400e-01 i
4.5454500e-01 1.8181800e-01 2.0770800e-01 i
5.4545500e-01 1.8181800e-01 2.0770800e-01 i
5.4545500e-01 1.8181800e-01 1.9929400e-01 i
6.3636400e-01 1.8181800e-01 1.9929400e-01 i
6.3636400e-01 1.8181800e-01 1.7473500e-01 i
7.2727300e-01 1.8181800e-01 1.7473500e-01 i
7.2727300e-01 1.8181800e-01 1.3601900e-01 i
8.1818200e-01 1.8181800e-01 1.3601900e-01 i
8.1818200e-01 1.8181800e-01 8.6285000e-02 i
9.0909100e-01 1.8181800e-01 8.6285000e-02 i
9.0909100e-01 1.8181800e-01 2.9560000e-02 i
1.0000000e+00 1.8181800e-01 2.9560000e-02 i
1.0000000e+00 1.8181800e-01 0.0000000e+00 i

# IsoCurve 20, 24 points
# x y z type
0.0000000e+00 9.0909000e-02 0.0000000e+00 i
0.0000000e+00 9.0909000e-02 2.9560000e-02 i
9.0909000e-02 9.0909000e-02 2.9560000e-02 i
9.0909000e-02 9.0909000e-02 8.6285000e-02 i
1.8181800e-01 9.0909000e-02 8.6285000e-02 i
1.8181800e-01 9.0909000e-02 1.3601900e-01 i
2.7272700e-01 9.0909000e-02 1.3601900e-01 i
2.7272700e-01 9.0909000e-02 1.7473500e-01 i
3.6363600e-01 9.0909000e-02 1.7473500e-01 i
3.6363600e-01 9.0909000e-02 1.9929400e-01 i
4.5454500e-01 9.0909000e-02 1.9929400e-01 i
4.5454500e-01 9.0909000e-02 2.0770800e-01 i
5.4545500e-01 9.0909000e-02 2.0770800e-01 i
5.4545500e-01 9.0909000e-02 1.9929400e-01 i
6.3636400e-01 9.0909000e-02 1.9929400e-01 i
6.3636400e-01 9.0909000e-02 1.7473500e-01 i
7.2727300e-01 9.0909000e-02 1.7473500e-01 i
7.2727300e-01 9.0909000e-02 1.3601900e-01 i
8.1818200e-01 9.0909000e-02 1.3601900e-01 i
8.1818200e-01 9.0909000e-02 8.6285000e-02 i
9.0909100e-01 9.0909000e-02 8.6285000e-02 i
9.0909100e-01 9.0909000e-02 2.9560000e-02 i
1.0000000e+00 9.0909000e-02 2.9560000e-02 i
1.0000000e+00 9.0909000e-02 0.0000000e+00 i

# IsoCurve 21, 24 points
# x y z type
0.0000000e+00 9.0909000e-02 0.0000000e+00 i
0.0000000e+00 9.0909000e-02 1.0127000e-02 i
9.0909000e-02 9.0909000e-02 1.0127000e-02 i
9.0909000e-02 9.0909000e-02 2.9560000e-02 i
1.8181800e-01 9.0909000e-02 2.9560000e-02 i
1.8181800e-01 9.0909000e-02 4.6598000e-02 i
2.7272700e-01 9.0909000e-02 4.6598000e-02 i
2.7272700e-01 9.0909000e-02 5.9861000e-02 i
3.6363600e-01 9.0909000e-02 5.9861000e-02 i
3.6363600e-01 9.0909000e-02 6.8275000e-02 i
4.5454500e-01 9.0909000e-02 6.8275000e-02 i
4.5454500e-01 9.0909000e-02 7.1157000e-02 i
5.4545500e-01 9.0909000e-02 7.1157000e-02 i
5.4545500e-01 9.0909000e-02 6.8275000e-02 i
6.3636400e-01 9.0909000e-02 6.8275000e-02 i
6.3636400e-01 9.0909000e-02 5.9861000e-02 i
7.2727300e-01 9.0909000e-02 5.9861000e-02 i
7.2727300e-01 9.0909000e-02 4.6598000e-02 i
8.1818200e-01 9.0909000e-02 4.6598000e-02 i
8.1818200e-01 9.0909000e-02 2.9560000e-02 i
9.0909100e-01 9.0909000e-02 2.9560000e-02 i
9.0909100e-01 9.0909000e-02 1.0127000e-02 i
1.0000000e+00 9.0909000e-02 1.0127000e-02 i
1.0000000e+00 9.0909000e-02 0.0000000e+00 i

# IsoCurve 22, 24 points
# x y z type
0.0000000e+00 0.0000000e+00 0.0000000e+00 i
0.0000000e+00 0.0000000e+00 1.0127000e-02 i
9.0909000e-02 0.0000000e+00 1.0127000e-02 i
9.0909000e-02 0.0000000e+00 2.9560000e-02 i
1.8181800e-01 0.0000000e+00 2.9560000e-02 i
1.8181800e-01 0.0000000e+00 4.6598000e-02 i
2.7272700e-01 0.0000000e+00 4.6598000e-02 i
2.7272700e-01 0.0000000e+00 5.9861000e-02 i
3.6363600e-01 0.0000000e+00 5.9861000e-02 i
3.6363600e-01 0.0000000e+00 6.8275000e-02 i
4.5454500e-01 0.0000000e+00 6.8275000e-02 i
4.5454500e-01 0.0000000e+00 7.1157000e-02 i
5.4545500e-01 0.0000000e+00 7.1157000e-02 i
5.4545500e-01 0.0000000e+00 6.8275000e-02 i
6.3636400e-01 0.0000000e+00 6.8275000e-02 i
6.3636400e-01 0.0000000e+00 5.9861000e-02 i
7.2727300e-01 0.0000000e+00 5.9861000e-02 i
7.2727300e-01 0.0000000e+00 4.6598000e-02 i
8.1818200e-01 0.0000000e+00 4.6598000e-02 i
8.1818200e-01 0.0000000e+00 2.9560000e-02 i
9.0909100e-01 0.0000000e+00 2.9560000e-02 i
9.0909100e-01 0.0000000e+00 1.0127000e-02 i
1.0000000e+00 0.0000000e+00 1.0127000e-02 i
1.0000000e+00 0.0000000e+00 0.0000000e+00 i

# IsoCurve 23, 24 points
# x y z type
0.0000000e+00 0.0000000e+00 0.0000000e+00 i
0.0000000e+00 0.0000000e+00 0.0000000e+00 i
9.0909000e-02 0.0000000e+00 0.0000000e+00 i
9.0909000e-02 0.0000000e+00 0.0000000e+00 i
1.8181800e-01 0.0000000e+00 0.0000000e+00 i
1.8181800e-01 0.0000000e+00 0.0000000e+00 i
2.7272700e-01 0.0000000e+00 0.0000000e+00 i
2.7272700e-01 0.0000000e+00 0.0000000e+00 i
3.6363600e-01 0.0000000e+00 0.0000000e+00 i
3.6363600e-01 0.0000000e+00 0.0000000e+00 i
4.5454500e-01 0.0000000e+00 0.0000000e+00 i
4.5454500e-01 0.0000000e+00 0.0000000e+00 i
5.4545500e-01 0.0000000e+00 0.0000000e+00 i
5.4545500e-01 0.0000000e+00 0.0000000e+00 i
6.3636400e-01 0.0000000e+00 0.0000000e+00 i
6.3636400e-01 0.0000000e+00 0.0000000e+00 i
7.2727300e-01 0.0000000e+00 0.0000000e+00 i
7.2727300e-01 0.0000000e+00 0.0000000e+00 i
8.1818200e-01 0.0000000e+00 0.0000000e+00 i
8.1818200e-01 0.0000000e+00 0.0000000e+00 i
9.0909100e-01 0.0000000e+00 0.0000000e+00 i
9.0909100e-01 0.0000000e+00 0.0000000e+00 i
1.0000000e+00 0.0000000e+00 0.0000000e+00 i
1.0000000e+00 0.0000000e+00 0.0000000e+00 i

